Task,Difficulty,Region,Type,Points,ready-to-use,auto-completed
[490] Complete the Hard Lumbridge & Draynor Diary,Hard,Misthalin,Diary,80,no,
[491] Complete the Elite Lumbridge & Draynor Diary,Elite,Misthalin,Diary,200,no,
[494] Enter Zanaris,Easy,Misthalin,Misc,10,no,
[496] Travel to Fossil Island,Easy,Misthalin,Misc,10,no,
[498] Pet a Stray Dog in Varrock,Easy,Misthalin,Misc,10,no,
[499] Complete Demon Slayer,Medium,Misthalin,Quest,30,no,
[500] Complete Sheep Shearer,Medium,Misthalin,Quest,30,no,
[501] Drink From the Tears of Guthix,Medium,Misthalin,Misc,30,no,
[502] Equip Some Fancy Boots or Fighting Boots,Medium,Misthalin,Misc,30,no,
[503] Complete Vampyre Slayer,Medium,Misthalin,Quest,30,no,
[505] Fully Unlock the Mycelium Transportation System,Medium,Misthalin,Misc,30,no,
[507] Build a Bank on Fossil Island,Medium,Misthalin,Misc,30,no,
[508] Use a Fairy Ring,Easy,Misthalin,Misc,10,no,
[509] Use a Digsite Pendant to Teleport to Fossil Island,Medium,Misthalin,Misc,30,no,
[512] Complete the Natural History Quiz,Easy,Misthalin,Misc,10,no,
[514] Cook a Rabbit in Tirannwn,Easy,Tirannwn,Skilling,10,no,
[515] Dissect 50 Sacred Eels,Hard,Tirannwn,Skilling,80,no,
[516] Harvest Some Sweetcorn in Prifddinas,Medium,Tirannwn,Skilling,30,no,
[517] Check a grown Papaya Tree in Lletya,Medium,Tirannwn,Skilling,30,no,
[518] Check a grown Crystal Tree,Hard,Tirannwn,Skilling,80,no,
[519] Catch a Crystal Impling,Medium,Tirannwn,Skilling,30,no,
[520] Equip an Elven Signet,Elite,Tirannwn,Skilling,200,yes,
[521] Cross a Trap in Isafdar,Easy,Tirannwn,Skilling,10,no,
[522] Complete the Prifddinas Agility Course,Hard,Tirannwn,Skilling,80,no,
[523] Complete the Prifddinas Agility Course in 1:10,Hard,Tirannwn,Skilling,80,no,
[524] Equip a Crystal Grail,Elite,Tirannwn,Combat,200,yes,
[525] Craft 50 Death Runes,Hard,Tirannwn,Skilling,80,no,
[526] Pickpocket an Elf 50 Times,Hard,Tirannwn,Skilling,80,no,
[527] Move Your House to Prifddinas,Medium,Tirannwn,Skilling,30,no,
[528] Defeat a Waterfiend in Tirannwn,Easy,Tirannwn,Combat,10,yes,
[529] Defeat an Elf in Tirannwn,Medium,Tirannwn,Combat,30,no,
[530] Craft a Piece of Crystal Armour,Hard,Tirannwn,Skilling,80,no,
[531] Equip a Full Crystal Armour Set,Elite,Tirannwn,Combat,200,no,
[532] Defeat a Moss Giant in Tirannwn,Easy,Tirannwn,Combat,10,yes,
[533] Defeat a Bloodveld in Tirannwn,Medium,Tirannwn,Combat,30,yes,
[534] Complete the Gauntlet,Hard,Tirannwn,Other,80,no,
[535] Complete the Corrupted Gauntlet,Hard,Tirannwn,Other,80,no,
[536] Equip a Corrupted Weapon,Master,Tirannwn,Combat,400,no,
[537] Defeat a Kurask in Tirannwn,Medium,Tirannwn,Combat,30,yes,
[538] Defeat Zalcano,Hard,Tirannwn,Combat,80,yes,
[540] Defeat Zulrah,Hard,Tirannwn,Combat,80,yes,
[541] Equip a Serpentine Helm,Elite,Tirannwn,Combat,200,yes,
[542] Defeat a Dark Beast in Tirannwn,Hard,Tirannwn,Combat,80,yes,
[543] Craft a Toxic Blowpipe,Elite,Tirannwn,Combat,200,partial,
[544] Equip a Dark Bow in Tirannwn,Hard,Tirannwn,Combat,80,no,
[545] Craft a Toxic Trident,Elite,Tirannwn,Combat,200,no,
[546] Equip a Crystal Bow,Hard,Tirannwn,Combat,80,yes,
[547] Complete the Corrupted Gauntlet 50 Times,Elite,Tirannwn,Other,200,no,
[548] Complete the Corrupted Gauntlet 150 Times,Elite,Tirannwn,Other,200,no,
[549] Equip a Crystal Shield,Hard,Tirannwn,Combat,80,yes,
[550] Defeat Zalcano 50 Times,Hard,Tirannwn,Combat,80,no,
[551] Defeat Zalcano 100 Times,Elite,Tirannwn,Combat,200,no,
[553] Defeat Zulrah 50 Times,Hard,Tirannwn,Combat,80,no,
[554] Defeat Zulrah 150 Times,Elite,Tirannwn,Combat,200,no,
[555] Defeat a Nechryael in Tirannwn,Hard,Tirannwn,Combat,80,yes,
[556] Use the Bank in Lletya,Easy,Tirannwn,Misc,10,no,
[557] Use an Elven Teleport Crystal,Medium,Tirannwn,Misc,30,no,
[558] Craft an Eternal Teleport Crystal,Hard,Tirannwn,Misc,80,partial,
[559] Equip a Piece of the Dragonstone Armour Set,Elite,Tirannwn,Misc,200,no,
[560] Equip a Crystal Crown,Master,Tirannwn,Misc,400,yes,
[561] Find Every Memoriam Crystal,Hard,Tirannwn,Misc,80,no,
[562] Open the Enhanced Crystal Chest,Hard,Tirannwn,Misc,80,no,
[563] Charter a Ship From Prifddinas to Port Tyras,Easy,Tirannwn,Misc,10,no,
[564] Talk to Ilfeen in Tirannwn,Easy,Tirannwn,Misc,10,no,
[565] Switch to the Lunar Spellbook,Easy,Fremennik,Skilling,10,no,
[566] Cast Moonclan Teleport,Hard,Fremennik,Skilling,80,no,
[568] Cast Spellbook Swap,Hard,Fremennik,Skilling,80,no,
[570] Build a Gilded Altar,Hard,General,Skilling,80,no,
[572] Build a Demonic Throne,Master,General,Skilling,400,no,
[573] Craft 50 Astral Runes,Medium,Fremennik,Skilling,30,no,
[574] Complete the Penguin Agility Course,Medium,Fremennik,Skilling,30,no,
[575] Complete the Rellekka Agility Course,Hard,Fremennik,Skilling,80,no,
[576] Harvest a Snapdragon in Weiss,Hard,Fremennik,Skilling,80,no,
[577] Catch a Snowy Knight,Medium,Fremennik,Skilling,30,partial,
[578] Trap a Sabre-toothed Kyatt,Hard,Fremennik,Skilling,80,no,
[579] Unlock Free Use of the Blast Furnace,Medium,Fremennik,Other,30,no,
[580] Use Some Icy Basalt to Teleport to Weiss,Medium,Fremennik,Skilling,30,no,
[581] Use Your Portal Nexus to Teleport to Weiss,Hard,Fremennik,Skilling,80,no,
[582] Create a Catherby Teleport Tablet,Hard,Fremennik,Skilling,80,no,
[583] Defeat a Rock Crab in the Fremennik Province,Easy,Fremennik,Combat,10,yes,
[584] Defeat a Basilisk Knight,Hard,Fremennik,Combat,80,yes,
[585] Defeat Vorkath,Hard,Fremennik,Combat,80,yes,
[586] Equip a Dragonfire Ward,Elite,Fremennik,Combat,200,yes,
[588] Defeat a Cockatrice in the Fremennik Province,Easy,Fremennik,Combat,10,yes,
[589] Defeat a Kurask in the Fremennik Province,Medium,Fremennik,Combat,30,yes,
[590] Equip an Ava's Assembler,Hard,Fremennik,Combat,80,yes,
[591] Equip a Dragonbone Necklace,Elite,Fremennik,Combat,200,yes,
[592] Defeat a Pyrefiend in the Fremennik Province,Easy,Fremennik,Combat,10,yes,
[593] Equip a Granite Shield,Medium,General,Combat,30,yes,
[594] Defeat a Troll in the Fremennik Province,Medium,Fremennik,Combat,30,yes,
[595] Equip a Brine Sabre,Hard,Fremennik,Combat,80,yes,
[596] Defeat the Dagannoth Kings Without Leaving,Hard,Fremennik,Combat,80,no,
[597] Equip Every Dagannoth King Ring,Elite,Fremennik,Combat,200,no,
[598] Defeat a Dagannoth in the Fremennik Province,Medium,Fremennik,Combat,30,yes,
[599] Equip a Berserker Ring,Hard,Fremennik,Combat,80,yes,
[600] Equip a Neitiznot Faceguard,Elite,Fremennik,Combat,200,yes,
[601] Equip a Warrior Ring,Hard,Fremennik,Combat,80,yes,
[602] Defeat Vorkath 5 Times Without Special Damage,Elite,Fremennik,Combat,200,no,
[603] Equip a Helm of Neitiznot,Medium,Fremennik,Combat,30,yes,
[604] Equip a Seer's Ring,Hard,Fremennik,Combat,80,no,
[605] Defeat Vorkath 15 Times Without Leaving,Elite,Fremennik,Combat,200,no,
[606] Defeat a Turoth in the Fremennik Province,Medium,Fremennik,Combat,30,yes,
[607] Equip an Archer's Ring,Hard,Fremennik,Combat,80,no,
[608] Defeat Vorkath 50 Times,Hard,Fremennik,Combat,80,no,
[609] Defeat Vorkath 150 Times,Hard,Fremennik,Combat,80,no,
[610] Defeat Vorkath 300 Times,Elite,Fremennik,Combat,200,no,
[611] Defeat a Jelly in the Fremennik Province,Medium,Fremennik,Combat,30,yes,
[612] Use the Special Attack of a Dragon Axe,Medium,Fremennik,Combat,30,no,
[613] Defeat Each Dagannoth King 50 Times,Hard,Fremennik,Combat,80,no,
[614] Defeat Each Dagannoth King 150 Times,Hard,Fremennik,Combat,80,no,
[615] Defeat Each Dagannoth King 300 Times,Elite,Fremennik,Combat,200,no,
[616] Equip a Leaf-Bladed Sword,Medium,General,Combat,30,yes,
[617] Equip a Mud Battlestaff,Hard,Fremennik,Combat,80,yes,
[618] Equip a Seercull,Hard,Fremennik,Combat,80,yes,
[619] Equip a Leaf-Bladed Battleaxe,Hard,Fremennik,Combat,80,yes,
[620] Equip a Full Skeletal Armour Set,Hard,Fremennik,Combat,80,no,
[621] Equip a Full Spined Armour Set,Hard,Fremennik,Combat,80,no,
[622] Equip a Full Rockshell Armour Set,Hard,Fremennik,Combat,80,no,
[623] Complete the Easy Fremennik Diary,Medium,Fremennik,Diary,30,no,
[624] Complete the Medium Fremennik Diary,Medium,Fremennik,Diary,30,no,
[625] Complete the Hard Fremennik Diary,Hard,Fremennik,Diary,80,no,
[626] Complete the Elite Fremennik Diary,Elite,Fremennik,Diary,200,no,
[627] Deposit an Item Using Peer the Seer,Medium,Fremennik,Misc,30,no,
[628] Complete Throne of Miscellania,Medium,Fremennik,Quest,30,no,
[629] Collect Miscellania Resources at Full Approval,Hard,Fremennik,Misc,80,no,
[630] Equip a Completed God Book,Elite,Fremennik,Other,200,no,
[631] Equip Every Completed God Book,Master,Fremennik,Other,400,no,
[632] Use the Bank on Jatizso,Easy,Fremennik,Misc,10,no,
[633] Complete Royal Trouble,Medium,Fremennik,Quest,30,no,
[634] Use the Bank on Neitiznot,Easy,Fremennik,Misc,10,no,
[636] Use the Bank on Lunar Isle,Easy,Fremennik,Misc,10,no,
[637] Cook 100 Karambwans,Hard,Karamja,Skilling,80,no,
[638] Receive an Agility Arena Ticket,Easy,Karamja,Other,10,partial,
[639] Buy a Snapdragon From Pirate Jackie the Fruit,Medium,Karamja,Other,30,no,
[640] Take a Shortcut Across the Shilo Village River,Medium,Karamja,Skilling,30,no,
[641] Receive 30 Agility Arena Tickets With No Mistakes,Hard,Karamja,Other,80,no,
[644] Catch a Karambwanji,Easy,Karamja,Skilling,10,partial,
[645] Catch a Salmon on Karamja,Medium,Karamja,Skilling,30,no,
[646] Catch 50 Karambwan,Medium,Karamja,Skilling,30,no,
[647] Check a grown Calquat Tree,Hard,Karamja,Skilling,80,no,
[648] Craft 50 Nature Runes,Medium,Karamja,Skilling,30,no,
[649] Enter your Player Owned House,Easy,General,Skilling,10,no,
[650] Defeat a TzHaar,Medium,Karamja,Combat,30,no,
[651] Equip an Obsidian Cape,Medium,Karamja,Combat,30,yes,
[652] Equip a Full Obsidian Armour Set,Hard,Karamja,Combat,80,yes,
[653] Equip a Fire Cape,Elite,Karamja,Combat,200,yes,
[654] Equip an Infernal Cape,Master,Karamja,Combat,400,yes,
[656] Equip a Toktz-Ket-Xil,Medium,Karamja,Combat,30,yes,
[657] Survive a Hit From TzTok-Jad Without Prayer,Hard,Karamja,Other,80,no,
[658] Defeat a Greater Demon on Karamja,Medium,Karamja,Combat,30,yes,
[660] Equip Some Dragon Platelegs or a Dragon Plateskirt,Hard,Karamja,Combat,80,no,
[661] Sacrifice a Fire Cape to Access the Inferno,Elite,Karamja,Other,200,no,
[662] Equip a Toktz-Xil-Ak,Medium,Karamja,Combat,30,yes,
[663] Equip a Toktz-Xil-Ek,Medium,Karamja,Combat,30,yes,
[664] Complete the Fight Caves 5 Times,Elite,Karamja,Other,200,no,
[665] Complete the Fight Caves 10 Times,Elite,Karamja,Other,200,no,
[667] Complete the Inferno 5 Times,Elite,Karamja,Other,200,no,
[668] Complete the Inferno 10 Times,Elite,Karamja,Other,200,no,
[669] Complete the Inferno 15 Times,Master,Karamja,Other,400,no,
[670] Defeat a Steel Dragon on Karamja,Medium,Karamja,Combat,30,yes,
[671] Complete the Easy Karamja Diary,Medium,Karamja,Diary,30,no,
[672] Complete the Medium Karamja Diary,Medium,Karamja,Diary,30,no,
[673] Complete the Hard Karamja Diary,Hard,Karamja,Diary,80,no,
[674] Complete the Elite Karamja Diary,Elite,Karamja,Diary,200,no,
[675] Fill a Crate With Bananas,Easy,Karamja,Misc,10,no,
[676] Enter the Tai Bwo Wannai Hardwood Grove,Medium,Karamja,Misc,30,no,
[677] Equip a Red Topaz Machete,Hard,Karamja,Misc,80,yes,
[678] Purchase an Onyx in Mor Ul Rek,Elite,Karamja,Misc,200,no,
[679] Pick a Pineapple on Karamja,Easy,Karamja,Misc,10,no,
[681] Find a Gout Tuber,Hard,Karamja,Other,80,no,
[683] Enter the Brimhaven Dungeon,Medium,Karamja,Misc,30,no,
[684] Pickpocket a Knight of Ardougne 50 Times,Medium,Kandarin,Skilling,30,no,
[685] Pickpocket a Hero,Hard,Kandarin,Skilling,80,no,
[686] Complete the Gnome Stronghold Agility Course,Easy,Kandarin,Skilling,10,no,
[687] Complete the Barbarian Outpost Agility Course,Medium,Kandarin,Skilling,30,no,
[688] Complete the Seers' Village Agility Course,Hard,Kandarin,Skilling,80,no,
[689] Complete the Ardougne Agility Course,Elite,Kandarin,Skilling,200,no,
[690] Catch a Crimson Swift in the Feldip Hills,Easy,Kandarin,Skilling,10,no,
[691] Trap a Spined Larupia in the Feldip Hills,Medium,Kandarin,Skilling,30,no,
[692] Catch 150 Red Chinchompas in Kandarin,Elite,Kandarin,Skilling,200,no,
[693] Equip a Spottier Cape,Medium,Kandarin,Skilling,30,yes,
[694] Catch a Red Salamander,Medium,Kandarin,Skilling,30,partial,
[695] Enter the Fishing Guild,Medium,Kandarin,Skilling,30,no,
[696] Catch a Monkfish,Medium,Kandarin,Skilling,30,partial,
[697] Equip a Thammaron's Sceptre,Elite,Wilderness,Combat,200,yes,
[698] Complete a Fishing Trawler Game,Medium,Kandarin,Other,30,no,
[699] Equip a Full Angler's Outfit,Hard,Kandarin,Skilling,80,no,
[700] Fletch 100 Maple Longbow (u) in Kandarin,Hard,Kandarin,Skilling,80,no,
[701] Move Your House to Yanille,Medium,Kandarin,Skilling,30,no,
[702] Check a grown Papaya Tree in the Gnome Stronghold,Hard,Kandarin,Skilling,80,no,
[703] Check a grown Dragonfruit Tree in Catherby,Elite,Kandarin,Skilling,200,no,
[705] Defeat a Mithril Dragon,Hard,Kandarin,Combat,80,yes,
[706] Defeat a Demonic Gorilla,Hard,Kandarin,Combat,80,yes,
[707] Defeat a Smoke Devil,Hard,Kandarin,Combat,80,yes,
[708] Defeat a Tortoise With Riders in Kandarin,Medium,Kandarin,Combat,30,no,
[709] Equip a Dragon Scimitar,Medium,Kandarin,Combat,30,yes,
[710] Equip Some Zenyte Jewelry,Elite,Kandarin,Combat,200,no,
[711] Set Up a Dwarf Cannon,Medium,Asgarnia,Combat,30,no,
[712] Equip a Heavy Ballista,Elite,Kandarin,Combat,200,yes,
[713] Equip All Zenyte Jewelry,Master,Kandarin,Combat,400,no,
[714] Enter the Ranging Guild,Medium,Kandarin,Combat,30,no,
[715] Equip a Fighter Torso,Elite,Kandarin,Combat,200,yes,
[716] Equip an Abyssal Tentacle,Elite,Kandarin,Combat,200,yes,
[717] Enter the Wizards' Guild,Medium,Kandarin,Combat,30,no,
[718] Defeat a Cave Kraken,Hard,Kandarin,Combat,80,yes,
[719] Defeat the Thermonuclear Smoke Devil,Medium,Kandarin,Combat,30,yes,
[720] Enhance a Trident of the Seas,Master,Kandarin,Combat,400,no,
[721] Defeat a Bloodveld in Kandarin,Easy,Kandarin,Combat,10,yes,
[722] Equip a Trident of the Seas,Hard,Kandarin,Combat,80,yes,
[723] Equip an Occult Necklace,Elite,Kandarin,Combat,200,yes,
[724] Defeat a Fire Giant in Kandarin,Easy,Kandarin,Combat,10,yes,
[725] Equip a Dragon Full Helm,Master,Kandarin,Combat,400,yes,
[726] Use the Chivalry Prayer,Hard,Kandarin,Combat,80,no,
[727] Use the Piety Prayer,Elite,Kandarin,Combat,200,no,
[728] Defeat the Kraken Boss 50 Times,Hard,Kandarin,Combat,80,no,
[729] Defeat the Kraken Boss 150 Times,Hard,Kandarin,Combat,80,no,
[730] Defeat the Kraken Boss 300 Times,Elite,Kandarin,Combat,200,no,
[731] Defeat 150 Demonic Gorillas,Hard,Kandarin,Combat,80,no,
[732] Defeat 300 Demonic Gorillas,Elite,Kandarin,Combat,200,no,
[733] Defeat 500 Demonic Gorillas,Elite,Kandarin,Combat,200,no,
[734] Visit the Tree Gnome Village,Easy,Kandarin,Misc,10,no,
[737] Visit the Tree Gnome Stronghold,Easy,Kandarin,Misc,10,no,
[738] Win a Game of Castle Wars,Medium,Kandarin,Other,30,no,
[739] Reach Level 5 in Any Barbarian Assault Role,Elite,Kandarin,Other,200,no,
[741] Complete Monk's Friend,Medium,Kandarin,Quest,30,no,
[743] Complete Tower of Life,Medium,Kandarin,Quest,30,no,
[744] Complete Elemental Workshop II,Hard,Kandarin,Quest,80,no,
[745] Complete Sea Slug,Medium,Kandarin,Quest,30,no,
[746] Complete the Observatory Quest,Medium,Kandarin,Quest,30,no,
[747] Brimstail Rune Essence Mine teleport,Easy,Kandarin,Misc,10,no,
[748] Defeat the Penance Queen,Hard,Kandarin,Other,80,yes,
[749] Equip a Marksman Chompy Hat,Medium,Kandarin,Combat,30,no,
[750] Equip an Ogre Forester Chompy Hat,Medium,Kandarin,Combat,30,no,
[751] Equip an Ogre Expert Chompy Hat,Hard,Kandarin,Combat,80,no,
[754] Equip a Monkey Backpack,Medium,Kandarin,Skilling,30,no,
[755] Equip a Karamja Monkey Backpack,Hard,Kandarin,Skilling,80,no,
[756] Equip a Maniacal Monkey Backpack,Elite,Kandarin,Skilling,200,no,
[759] Complete the Easy Kandarin Diary,Medium,Kandarin,Diary,30,no,
[760] Complete the Medium Kandarin Diary,Medium,Kandarin,Diary,30,no,
[761] Complete the Hard Kandarin Diary,Hard,Kandarin,Diary,80,no,
[762] Complete the Elite Kandarin Diary,Elite,Kandarin,Diary,200,no,
[763] Complete the Easy Western Provinces Diary,Medium,General,Diary,30,no,
[764] Complete the Medium Western Provinces Diary,Medium,General,Diary,30,no,
[765] Complete the Hard Western Provinces Diary,Hard,General,Diary,80,no,
[766] Complete the Elite Western Provinces Diary,Elite,General,Diary,200,no,
[767] Equip an Infernal Tool,Elite,General,Skilling,200,no,
[768] Complete the Falador Agility Course,Medium,Asgarnia,Skilling,30,no,
[769] Equip a Full Graceful Outfit,Elite,Asgarnia,Skilling,200,no,
[770] Equip a Full Rogue Outfit,Hard,Asgarnia,Skilling,80,no,
[771] Obtain 20 Golden Nuggets,Medium,Asgarnia,Skilling,30,no,
[772] Equip a Full Prospector Outfit,Hard,Asgarnia,Skilling,80,no,
[773] Enter the Crafting Guild,Medium,Asgarnia,Skilling,30,no,
[774] Craft an Air Rune,Easy,Asgarnia,Skilling,10,partial,
[775] Craft a Body Rune,Medium,Asgarnia,Skilling,30,partial,
[776] Craft 50 Law Runes,Hard,Asgarnia,Skilling,80,no,
[777] Make 20 Ranging Potions,Hard,General,Skilling,80,no,
[778] Make 20 Stamina Potions,Medium,General,Skilling,30,no,
[779] Harvest Any Herb at the Troll Stronghold,Medium,Asgarnia,Skilling,30,no,
[782] Defeat the Giant Mole,Medium,Asgarnia,Combat,30,yes,
[783] Equip a Dragon Defender,Hard,Asgarnia,Combat,80,yes,
[784] Equip a Staff of the Dead,Elite,Asgarnia,Combat,200,yes,
[785] Equip Every Godsword,Master,Asgarnia,Combat,400,no,
[786] Defeat a Troll in Asgarnia,Easy,Asgarnia,Combat,10,yes,
[787] Defeat a Skeletal Wyvern,Medium,Asgarnia,Combat,30,yes,
[788] Defeat K'ril Tsutsaroth,Hard,Asgarnia,Combat,80,yes,
[789] Equip a Zamorakian Spear,Elite,Asgarnia,Combat,200,yes,
[790] Equip a Piece of the Armadyl Armour Set,Elite,Asgarnia,Combat,200,no,
[791] Equip a Full Armadyl Armour Set,Elite,Asgarnia,Combat,200,no,
[793] Defeat General Graardor,Hard,Asgarnia,Combat,80,yes,
[794] Equip a Saradomin Sword,Hard,Asgarnia,Combat,80,yes,
[795] Equip a Piece of the Bandos Armour Set,Elite,Asgarnia,Combat,200,no,
[796] Equip a Full Bandos Armour Set,Elite,Asgarnia,Combat,200,no,
[797] Defeat Kree'arra,Hard,Asgarnia,Combat,80,yes,
[798] Equip an Armadyl Crossbow,Elite,Asgarnia,Combat,200,yes,
"[799] Equip Some Primordial, Pegasian or Eternal Boots",Elite,Asgarnia,Combat,200,no,
[801] Defeat Commander Zilyana,Hard,Asgarnia,Combat,80,yes,
[802] Equip a Godsword,Elite,Asgarnia,Combat,200,no,
[803] Defeat a Blue Dragon in Asgarnia,Medium,Asgarnia,Combat,30,yes,
[804] Charge an Amulet of Glory in the Heroes' Guild,Medium,Asgarnia,Combat,30,no,
[805] Defeat a Black Demon in Asgarnia,Medium,Asgarnia,Combat,30,yes,
[807] Defeat Cerberus,Hard,Asgarnia,Combat,80,yes,
[808] Equip a Pair of Dragon Boots,Hard,Asgarnia,Combat,80,no,
[809] Defeat Any God Wars Dungeon Boss 100 Times,Hard,Asgarnia,Combat,80,no,
[810] Defeat Any God Wars Dungeon Boss 250 Times,Hard,Asgarnia,Combat,80,no,
[811] Defeat Any God Wars Dungeon Boss 500 Times,Elite,Asgarnia,Combat,200,no,
[812] Defeat the Giant Mole 50 Times,Medium,Asgarnia,Combat,30,no,
[813] Defeat the Giant Mole 150 Times,Medium,Asgarnia,Combat,30,no,
[814] Defeat the Giant Mole 300 Times,Hard,Asgarnia,Combat,80,no,
[815] Complete the Easy Falador Diary,Medium,Asgarnia,Diary,30,no,
[816] Complete the Medium Falador Diary,Medium,Asgarnia,Diary,30,no,
[817] Complete the Hard Falador Diary,Hard,Asgarnia,Diary,80,no,
[818] Complete the Elite Falador Diary,Elite,Asgarnia,Diary,200,no,
[819] Complete A Porcine of Interest,Hard,Asgarnia,Quest,80,no,
[820] Equip a Full Void Knight Set,Hard,Asgarnia,Combat,80,no,
[821] Unlock a Gate in Taverley Dungeon,Medium,Asgarnia,Combat,30,no,
[822] Turn in 100 Mole Claws to Wyson the Gardener,Medium,Asgarnia,Combat,30,no,
[823] Enter the Taverley Dungeon,Easy,Asgarnia,Misc,10,no,
[824] Enter the Warriors' Guild,Medium,Asgarnia,Misc,30,no,
[826] Keep the Veteran Void Knight Above 150 Hitpoints,Hard,Asgarnia,Other,80,no,
[827] Complete a Game of Novice Pest Control,Medium,Asgarnia,Other,30,no,
[828] Complete a Game of Intermediate Pest Control,Medium,Asgarnia,Other,30,no,
[829] Complete a Game of Veteran Pest Control,Hard,Asgarnia,Other,80,no,
[830] Open the Crystal Chest,Medium,Asgarnia,Misc,30,no,
[831] Room 1 of Pyramid Plunder,Easy,Desert,Other,10,no,
[832] Room 2 of Pyramid Plunder,Easy,Desert,Other,10,no,
[833] Room 3 of Pyramid Plunder,Easy,Desert,Other,10,no,
[834] Room 4 of Pyramid Plunder,Medium,Desert,Other,30,no,
[835] Room 5 of Pyramid Plunder,Medium,Desert,Other,30,no,
[836] Room 6 of Pyramid Plunder,Medium,Desert,Other,30,no,
[837] Room 7 of Pyramid Plunder,Hard,Desert,Other,80,no,
[838] Room 8 of Pyramid Plunder,Hard,Desert,Other,80,no,
[839] Room 8 of Pyramid Plunder 25 Times,Hard,Desert,Other,80,no,
[842] Pick a Winter Sq'irk,Easy,Desert,Other,10,partial,
[843] Pick a Spring Sq'irk,Medium,Desert,Other,30,partial,
[844] Pick a Autumn Sq'irk,Medium,Desert,Other,30,partial,
[845] Pick a Summer Sq'irk,Hard,Desert,Other,80,partial,
[846] Turn in a Winter Sq'irkjuice to Osman,Easy,Desert,Other,10,no,
[847] Turn in 10 Spring Sq'irkjuices to Osman,Medium,Desert,Other,30,no,
[848] Turn in 25 Autumn Sq'irkjuices to Osman,Hard,Desert,Other,80,no,
[849] Turn in 50 Summer Sq'irkjuices to Osman,Elite,Desert,Other,200,no,
[850] Pickpocket a Bandit in the Bandit Camp,Medium,Desert,Skilling,30,no,
[851] Pickpocket a Menaphite Thug 50 Times,Hard,Desert,Skilling,80,no,
[852] Complete the Al Kharid Agility Course,Easy,Desert,Skilling,10,no,
[853] Turn in a Pyramid Top to Simon Templeton,Medium,Desert,Skilling,30,no,
[854] Craft a Fire Rune,Easy,Desert,Skilling,10,partial,
[855] Craft a Lava Rune at the Fire Altar,Medium,Desert,Skilling,30,no,
[856] Make 20 Magic Potions,Hard,Desert,Skilling,80,no,
[858] Check a grown Potato Cactus,Hard,Desert,Skilling,80,no,
[859] Catch 30 Orange Salamanders,Medium,Desert,Skilling,30,no,
[860] Mine 30 Chunks of Granite,Medium,Desert,Skilling,30,no,
[864] Defeat the Kalphite Queen,Hard,Desert,Combat,80,yes,
[865] Defeat a Kalphite Guardian,Medium,Desert,Combat,30,yes,
[866] Cast Ice Burst,Hard,Desert,Combat,80,no,
[867] Equip a Dragon Chainbody in the Kharidian Desert,Elite,Desert,Combat,200,no,
[868] Cast Ice Rush,Medium,Desert,Combat,30,no,
[869] Cast Ice Blitz,Hard,Desert,Combat,80,no,
[872] Cast Ice Barrage,Elite,Desert,Combat,200,no,
[874] Defeat the Kalphite Queen 50 Times,Hard,Desert,Combat,80,no,
[875] Defeat the Kalphite Queen 150 Times,Hard,Desert,Combat,80,no,
[876] Equip a Dragon 2-Handed Sword,Hard,Desert,Combat,80,no,
[877] Complete the Easy Desert Diary,Medium,Desert,Diary,30,no,
[878] Complete the Medium Desert Diary,Medium,Desert,Diary,30,no,
[879] Complete the Hard Desert Diary,Hard,Desert,Diary,80,no,
[880] Complete the Elite Desert Diary,Elite,Desert,Diary,200,no,
[883] Equip a Piece of the Infinity Robe Set,Elite,Desert,Combat,200,no,
[884] Equip a Full Infinity Robe Set,Master,Desert,Combat,400,no,
[886] Complete Spirits of the Elid,Medium,Desert,Quest,30,no,
[889] Use the Bank in Nardah,Easy,Desert,Misc,10,no,
[890] Pray at the Elidinis Statuette,Medium,Desert,Misc,30,no,
[895] Enter the Kalphite Lair,Easy,Desert,Misc,10,no,
[896] Complete Shadow of the Storm,Medium,Desert,Quest,30,no,
[897] Complete The Golem,Medium,Desert,Quest,30,no,
[898] Floor 1 of the Hallowed Sepulchre,Medium,Morytania,Other,30,no,
[899] Floor 2 of the Hallowed Sepulchre,Medium,Morytania,Other,30,no,
[900] Floor 3 of the Hallowed Sepulchre,Medium,Morytania,Other,30,no,
[901] Floor 4 of the Hallowed Sepulchre,Hard,Morytania,Other,80,no,
[902] Floor 5 of the Hallowed Sepulchre,Elite,Morytania,Other,200,no,
[904] Complete the Hallowed Sepulchre in 6:30,Elite,Morytania,Other,200,no,
[905] Equip a Ring of Endurance,Elite,Morytania,Skilling,200,yes,
[906] Purchase a Reward From the Hallowed Sepulchre,Medium,Morytania,Other,30,no,
[907] Obtain Every Hallowed Tool,Hard,Morytania,Other,80,no,
[908] Complete the Canifis Agility Course,Medium,Morytania,Skilling,30,no,
[909] Complete the Werewolf Agility Course,Medium,Morytania,Skilling,30,no,
[910] Equip Viggora's Chainmace,Elite,Wilderness,Combat,200,yes,
[911] Pickpocket a Vyre 50 Times,Hard,Morytania,Skilling,80,no,
[912] Catch a Swamp Lizard in Morytania,Medium,Morytania,Skilling,30,no,
[913] Craft a Snelm,Easy,Morytania,Skilling,10,no,
[915] Craft a Rune Using Daeyalt Essence,Medium,Morytania,Skilling,30,no,
[917] Assemble a Slayer Helm,Medium,Morytania,Combat,30,no,
